ADC,69,2,2,6D,4,3,65,3,2,,,,,,,61,6,2,71,5,2,75,4,2,7D,4,3,79,4,3,,,,,,,,,
AND,29,2,2,2D,4,3,25,3,2,,,,,,,21,6,2,31,5,2,35,4,2,3D,4,3,39,4,3,,,,,,,,,
ASL,,,,0E,6,3,6,5,2,0A,2,1,,,,,,,,,,16,6,2,1E,7,3,,,,,,,,,,,,
BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,2,2,,,,,,
BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0,2,2,,,,,,
BEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0,2,2,,,,,,
BIT,,,,2C,4,3,24,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,2,,,,,,
BNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0,2,2,,,,,,
BPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,2,,,,,,
BRK,,,,,,,,,,,,,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,
BVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,2,,,,,,
BVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2,2,,,,,,
CLC,,,,,,,,,,,,,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,
CLD,,,,,,,,,,,,,D8,2,2,,,,,,,,,,,,,,,,,,,,,,,,
CLI,,,,,,,,,,,,,58,2,1,,,,,,,,,,,,,,,,,,,,,,,,
CLV,,,,,,,,,,,,,88,2,1,,,,,,,,,,,,,,,,,,,,,,,,
CMP,C9,2,2,CD,4,3,C5,3,2,,,,,,,C1,6,2,D1,5,2,D5,4,2,DD,4,3,D9,4,3,,,,,,,,,
CPX,E0,2,2,EC,4,3,E4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPY,C0,2,2,CC,4,3,C4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,CE,6,3,C6,5,2,,,,,,,,,,,,,D6,6,2,DE,7,3,,,,,,,,,,,,
DEX,,,,,,,,,,,,,CA,2,1,,,,,,,,,,,,,,,,,,,,,,,,
DEY,,,,,,,,,,,,,88,2,1,,,,,,,,,,,,,,,,,,,,,,,,
EOR,49,2,2,4D,4,3,45,3,2,,,,,,,41,6,2,51,5,2,55,4,2,5D,4,3,59,4,3,,,,,,,,,
INC,,,,EE,6,3,E6,5,2,,,,,,,,,,,,,F6,6,2,FE,7,3,,,,,,,,,,,,
INX,,,,,,,,,,,,,E8,2,1,,,,,,,,,,,,,,,,,,,,,,,,
INY,,,,,,,,,,,,,C8,2,1,,,,,,,,,,,,,,,,,,,,,,,,
JMP,,,,4C,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6C,5,3,,,
JSR,,,,20,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDA,A9,2,2,AD,4,3,A5,3,2,,,,,,,A1,6,2,B1,5,2,B5,4,2,BD,4,3,B9,4,3,,,,,,,,,
LDX,A2,2,2,AE,4,3,A6,3,2,,,,,,,,,,,,,,,,,,,BE,4,3,,,,,,,B6,4,2
LDY,A0,2,2,AC,4,3,A4,3,2,,,,,,,,,,,,,B4,4,2,BC,4,3,,,,,,,,,,,,
LSR,,,,4E,6,3,46,5,2,4A,2,1,,,,,,,,,,56,6,2,5E,7,3,,,,,,,,,,,,
NOP,,,,,,,,,,,,,EA,2,1,,,,,,,,,,,,,,,,,,,,,,,,
ORA,9,2,2,0D,4,3,5,3,2,,,,,,,1,6,2,11,5,2,15,4,2,1D,4,3,19,4,3,,,,,,,,,
PHA,,,,,,,,,,,,,48,3,1,,,,,,,,,,,,,,,,,,,,,,,,
PHP,,,,,,,,,,,,,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,
PLA,,,,,,,,,,,,,68,4,1,,,,,,,,,,,,,,,,,,,,,,,,
PLP,,,,,,,,,,,,,28,4,1,,,,,,,,,,,,,,,,,,,,,,,,
ROL,,,,2E,6,3,26,5,2,2A,2,1,,,,,,,,,,36,6,2,3E,7,3,,,,,,,,,,,,
ROR,,,,6E,6,3,66,5,2,6A,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTI,,,,,,,,,,,,,40,6,1,,,,,,,,,,,,,,,,,,,,,,,,
